fips,community,jurisdiction,oc_city,oc_municipality,oc_town,oc_suburb,oc_village,oc_neighbourhood
17031140302,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,NA
17031140301,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,NA
17031140702,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,NA
17031140602,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,NA
17031140701,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,NA
17031140601,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,NA
17031140100,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,NA
17031140200,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,NA
17031140400,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,Mayfair
17031140500,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,Mayfair
17031140800,Albany Park,Chicago,Chicago,Jefferson Township,NA,Albany Park,NA,Ravenswood Manor
17031823302,Alsip,Suburban Cook County,NA,Worth Township,Alsip,NA,NA,NA
17031823303,Alsip,Suburban Cook County,NA,Worth Township,Alsip,NA,NA,NA
17031823400,Alsip,Suburban Cook County,NA,Worth Township,Alsip,NA,NA,NA
17031823200,Alsip,Suburban Cook County,NA,Worth Township,Alsip,NA,NA,NA
17031570100,Archer Heights,Chicago,Chicago,Lake Township,NA,Archer Heights,NA,NA
17031570200,Archer Heights,Chicago,Chicago,Lake Township,NA,Archer Heights,NA,NA
17031570300,Archer Heights,Chicago,Chicago,Lake Township,NA,Archer Heights,NA,NA
17031570400,Archer Heights,Chicago,Chicago,Lake Township,NA,Archer Heights,NA,NA
17031570500,Archer Heights,Chicago,Chicago,Lake Township,NA,Archer Heights,NA,NA
17031802900,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031805106,Arlington Heights,Suburban Cook County,NA,Elk Grove Township,Arlington Heights,NA,NA,NA
17031805107,Arlington Heights,Suburban Cook County,NA,Elk Grove Township,Arlington Heights,NA,NA,NA
17031803008,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031805110,Arlington Heights,Suburban Cook County,NA,Elk Grove Township,Arlington Heights,NA,NA,NA
17031803015,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031803612,Arlington Heights,Suburban Cook County,NA,Palatine Township,NA,NA,NA,NA
17031803012,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031805109,Arlington Heights,Suburban Cook County,NA,Elk Grove Township,Arlington Heights,NA,NA,NA
17031803016,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031803400,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,Scarsdale
17031803500,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031802801,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031803005,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031803007,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031803901,Arlington Heights,Suburban Cook County,NA,Palatine Township,Arlington Heights,NA,NA,NA
17031803100,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031803017,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031803200,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,NA
17031803300,Arlington Heights,Suburban Cook County,NA,Wheeling Township,Arlington Heights,NA,NA,Scarsdale
17031841100,Armour Square,Chicago,Chicago,NA,NA,Armour Square,NA,South Branch Addition
17031340400,Armour Square,Chicago,Chicago,NA,NA,Armour Square,NA,Chinatown
17031340300,Armour Square,Chicago,Chicago,NA,NA,Armour Square,NA,NA
17031340500,Armour Square,Chicago,Chicago,NA,NA,Armour Square,NA,NA
17031340600,Armour Square,Chicago,Chicago,NA,NA,Armour Square,NA,NA
17031700301,Ashburn,Chicago,Chicago,Lake Township,NA,Ashburn,NA,NA
17031700401,Ashburn,Chicago,Chicago,Lake Township,NA,Ashburn,NA,Clarkdale
17031700302,Ashburn,Chicago,Chicago,Lake Township,NA,Ashburn,NA,Clarkdale
17031700501,Ashburn,Chicago,Chicago,Lake Township,NA,Ashburn,NA,NA
17031700502,Ashburn,Chicago,Chicago,Lake Township,NA,Ashburn,NA,NA
17031700402,Ashburn,Chicago,Chicago,Lake Township,NA,Ashburn,NA,Mitchells Subdivision
17031700100,Ashburn,Chicago,Chicago,Lake Township,NA,Ashburn,NA,Forest Hill
17031700200,Ashburn,Chicago,Chicago,Lake Township,NA,Ashburn,NA,NA
17031710700,Auburn Gresham,Chicago,Chicago,Lake Township,NA,Auburn Gresham,NA,South Englewood
